CEP teff logg vtur Mh dteff dlogg dvtur feh sfeh dfeh nlinesFeI feIIh sfeIIh dfeIIh nlinesFeII merit slope_AbEP slope_AbEWR p2p_EP p2p_EWR oh soh doh nlineso
OGLE0949 5737 1.10 3.90 -0.30 95 0.07 0.24 -0.272 0.146 0.0615 95 -0.3 0.077 0.0535 11 2.79 -0.36219E-01 0.10825E-01 5.320 1.05179 0 0 0 0
OGLE0966 5046 0.30 4.00 -0.30 62 0.07 0.23 -0.332 0.140 0.044 76 -0.347 0.062 0.054 9 1.74 -0.25806E-01 0.98508E-01 5.600 1.01824 -0.232 0.020 0.0905 1
OGLE0969 5198 0.80 3.10 -0.30 62 0.06 0.14 -0.313 0.119 0.034 101 -0.321 0.070 0.043 15 0.79 -0.78220E-02 0.19238E-01 5.650 1.05860 -0.206 0.024 0.0895 2
OGLE0970 5709 0.80 3.00 -0.20 80 0.15 0.15 -0.149 0.146 0.0515 93 -0.148 0.171 0.054 13 2.23 -0.33117E-01 -0.52937E-02 5.600 1.06820 -0.002 0.030 0.091 1
OGLE0975 6031 1.10 3.60 -0.20 129 0.10 0.25 -0.21 0.174 0.0775 89 -0.227 0.089 0.0575 12 3.60 -0.63501E-01 -0.14003E-01 5.300 1.04916 0 0 0 0
OGLE0978 5394 0.90 4.00 -0.40 73 0.06 0.22 -0.353 0.151 0.0475 94 -0.384 0.061 0.0255 12 2.70 -0.32853E-01 -0.17542E-01 5.600 1.05549 -0.148 0.030 0.066 1
OGLE0986 5713 0.70 4.00 -0.20 132 0.17 0.20 -0.216 0.132 0.087 76 -0.215 0.161 0.0635 8 2.97 -0.47345E-01 0.22109E-01 5.320 .97977 0 0 0 0
OGLE0992 5695 0.80 4.00 -0.20 75 0.27 0.35 -0.193 0.125 0.052 75 -0.163 0.217 0.051 7 4.32 -0.51258E-01 0.20412E+00 5.600 1.04559 0.081 0.020 0.091 1
OGLE1001 5047 0.60 3.50 -0.30 67 0.08 0.12 -0.313 0.115 0.047 89 -0.322 0.098 0.0385 12 0.52 -0.63301E-02 0.70313E-02 5.620 .83330 -0.119 0.096 0.0905 2
OGLE1031 4856 0.50 3.80 -0.40 59 0.06 0.18 -0.401 0.117 0.038 77 -0.421 0.083 0.0185 13 0.73 0.29179E-02 -0.37323E-02 5.600 1.01287 -0.33 0.030 0.07 1
OGLE1058 6538 1.40 3.60 -0.20 262 0.14 0.22 -0.201 0.142 0.156 74 -0.206 0.185 0.129 14 2.78 -0.46600E-01 0.23839E-02 5.620 1.07071 0.524 0.106 0.244 2
OGLE1080 5198 0.80 4.00 -0.40 100 0.08 0.31 -0.364 0.170 0.077 70 -0.386 0.077 0.0875 8 4.73 -0.38960E-01 0.37067E+00 5.300 .91330 0 0 0 0
OGLE1109 5524 1.20 3.80 -0.40 100 0.06 0.16 -0.386 0.127 0.069 97 -0.392 0.055 0.05 12 2.15 -0.28371E-01 0.56994E-02 5.630 1.04641 -0.185 0.060 0.109 1
OGLE1112 5846 1.10 3.50 -0.20 143 0.10 0.18 -0.196 0.162 0.0855 85 -0.224 0.085 0.055 12 1.74 -0.41657E-01 -0.17004E-01 5.620 1.00483 0.451 0.040 0.1265 1
OGLE1313 6515 1.70 3.30 -0.50 232 0.10 0.16 -0.463 0.127 0.138 86 -0.476 0.075 0.111 11 4.41 -0.51033E-01 -0.20369E-02 5.620 1.05866 0.524 0.057 0.2095 2
OGLE1374 5801 1.30 4.00 -0.40 143 0.08 0.21 -0.384 0.127 0.0925 77 -0.412 0.084 0.067 11 4.83 -0.66670E-01 0.14544E-01 5.620 1.06472 0.395 0.050 0.132 1
OGLE1389 5770 1.10 2.90 -0.30 86 0.12 0.10 -0.3 0.151 0.06 112 -0.301 0.118 0.063 14 3.84 -0.46681E-01 0.32752E-01 5.600 1.05290 -0.124 0.040 0.1095 1
OGLE1411 5577 1.10 4.00 -0.40 88 0.07 0.21 -0.35 0.112 0.0635 91 -0.389 0.071 0.0375 12 2.71 -0.24906E-01 0.56003E-01 5.600 1.06452 -0.253 0.050 0.079 1
OGLE1417 5557 1.10 3.90 -0.30 74 0.06 0.17 -0.27 0.151 0.041 87 -0.284 0.049 0.051 11 4.47 -0.55491E-01 0.13562E-01 5.320 1.06541 0 0 0 0
OGLE1424 5931 1.20 3.20 -0.30 115 0.11 0.10 -0.309 0.100 0.0695 95 -0.304 0.135 0.072 14 1.84 -0.23138E-01 -0.17696E-01 5.320 1.05488 -8.69 0.000 0 0
OGLE1431 5732 1.10 3.80 -0.20 87 0.08 0.16 -0.233 0.123 0.0595 93 -0.259 0.085 0.061 12 2.93 -0.32152E-01 0.30854E-02 5.620 1.07645 0.162 0.050 0.1035 1
OGLE1463 6166 1.30 3.00 -0.20 119 0.11 0.11 -0.157 0.136 0.065 88 -0.13 0.131 0.082 16 1.68 -0.31150E-01 -0.15124E-01 5.300 .98991 0 0 0 0
OGLE1466 5911 1.30 3.50 -0.30 108 0.11 0.14 -0.26 0.106 0.07 86 -0.28 0.125 0.0625 14 1.93 -0.27548E-01 0.90554E-02 5.600 1.04348 0.001 0.040 0.113 1
OGLE1490 6204 1.40 2.90 -0.30 123 0.20 0.14 -0.322 0.132 0.066 113 -0.299 0.121 0.0635 16 4.06 -0.44618E-01 -0.28793E-01 5.620 1.08943 -0.13 0.050 0.12 1
OGLE1526 5466 1.10 3.80 -0.30 114 0.10 0.18 -0.289 0.164 0.0725 97 -0.274 0.112 0.07 13 0.93 -0.14465E-01 -0.18382E-01 5.320 1.00161 0 0 0 0
OGLE1539 5002 0.80 3.90 -0.40 67 0.06 0.23 -0.398 0.151 0.051 86 -0.412 0.071 0.0435 15 0.50 -0.27159E-02 -0.18857E-02 5.600 1.02569 -0.037 0.020 0.0915 1
OGLE1578 5777 1.30 3.80 -0.20 99 0.12 0.26 -0.174 0.157 0.059 89 -0.165 0.146 0.066 11 1.88 -0.28882E-01 0.99560E-02 5.320 1.04506 0 0 0 0
