Name 	Type 	log(P) 	<J> 	<H> 	<K> 	[Fe/H]lit 	[Fe/H] 	d[Fe/H] NS 	mu dmu RG dRG 		Notes 	Ref
BNPup 	DCEP 	1.1359 	7.563 	7.090 	6.910 	-0.03 	0.03  0.05 	1 	12.83  0.05 	9930  428 	b 	LEM
CEPup 	DCEP 	1.6949 	8.402 	7.816 	7.581 	-0.04 	-0.04  0.09 	1 	15.27  0.07 	14958  422 	c 	LII
CKPup 	CEP 	0.8703 	10.273 	9.703 	9.456 	-0.12 	-0.13  0.06 	2 	14.37  0.05 	13357  423 	b 	G13
HWPup 	DCEP 	1.1289 	9.468 	8.914 	8.716 	-0.28 	-0.22  0.09 	1 	14.55  0.07 	13554  436 	c 	LEM
LSPup 	CEP 	1.1506 	8.030 	7.531 	7.341 	-0.15 	-0.12  0.11 	1 	13.29  0.05 	10610  423 	b 	ROM
VWPup 	DCEP 	0.6320 	9.008 	8.514 	8.360 	-0.19 	-0.14  0.06 	1 	12.58  0.07 	10175  443 	c 	LII
VZPup 	DCEP 	1.3649 	7.309 	6.842 	6.657 	-0.37 	-0.01  0.04 	1 	13.35  0.05 	10867  425 	b 	LEM
WWPup 	DCEP 	0.7417 	8.653 	8.274 	8.131 	-0.18 	0.13  0.16 	1 	12.82  0.05 	10382  436 	b 	LII
XPup 	DCEP 	1.4143 	6.117 	5.614 	5.418 	0.05 	0.02  0.08 	1 	12.24  0.05 	9788  441 	b 	ROM
KQSco 	DCEP 	1.4577 	5.945 	5.229 	4.924 	0.22 	0.52  0.08 	5 	11.67  0.05 	5948  451 	b 	ROM
RYSco 	DCEP 	1.3078 	4.930 	4.379 	4.134 	0.09 	0.01  0.06 	5 	10.54  0.05 	6663  453 	b 	LII
V500Sco 	DCEP 	0.9693 	6.041 	5.532 	5.330 	0.01 	-0.07  0.08 	4 	10.65  0.05 	6590  453 	b 	LII
RUSct 	DCEP 	1.2945 	5.891 	5.287 	5.034 	0.11 	0.14  0.04 	2 	11.35  0.05 	6361  449 	a 	LIII
UZSct 	DCEP 	1.1686 	7.405 	6.749 	6.461 	0.35 	0.33  0.08 	6 	12.29  0.05 	5309  448 	a 	PED
V367Sct 	CEP(B) 	0.7989 	7.605 	6.955 	6.651 	-0.01 	0.05  0.08 	4 	11.23  0.05 	6332  451 	b 	LII
ZSct 	DCEP 	1.1106 	6.949 	6.477 	6.263 	0.33 	0.12  0.09 	5 	12.08  0.05 	5733  445 	a 	LIII
AVSgr 	DCEP 	1.1879 	6.878 	6.089 	5.730 	0.27 	0.35  0.17 	5 	11.49  0.05 	5980  454 	b  	PED
VYSgr 	DCEP 	1.1322 	7.156 	6.385 	6.042 	0.35 	0.33  0.12 	5 	11.63  0.05 	5862  453 	b 	PED
WZSgr 	DCEP 	1.3394 	5.255 	4.752 	4.536 	0.19 	0.28  0.08 	5 	11.10  0.05 	6326  453 	a 	LII
XXSgr 	CEP 	0.8078 	6.436 	5.967 	5.747 	0.10 	-0.01  0.06 	5 	10.55  0.07 	6706  453 	c 	LII
EZVel 	DCEP 	1.5383 	8.884 	8.203 	7.914 	-0.01 	-0.17  0.15 	1 	14.97  0.07 	12119  358 	c 	LEM 
